Bairro,Azulejo-Código,Procedência,Fábrica,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 18/30/36, 257/259; Travessa Pedro de Albuquerque n°230; Travessa Gurupá n°114 e 266; Rua Dr. Malcher n°15/84; Rua Dr. Assis n° 130; Rua Gaspar Viana n° 151/153/157 e 165/169; Rua 15 de Novembro n° 30/32/34/36; Avenida Castilhos França n° 346, 506, 522 e 524/534; Rua Gaspar Viana n° 80/84/88 e 96/98","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 18/30/36, 257/259; Travessa Pedro de Albuquerque n°230; Travessa Gurupá n°114 e 266; Rua Dr. Malcher n°15/84; Rua Dr. Assis n° 130; Rua Gaspar Viana n° 151/153/157 e 165/169; Rua 15 de Novembro n° 30/32/34/36; Avenida Castilhos França n° 346, 506, 522 e 524/534; Rua Gaspar Viana n° 80/84/88 e 96/98","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa 7 de Setembro  n° 104; Travessa Rui Barbosa n° 845; Rua Senador Manoel Barata n° 377 e Travessa Campos Sales n° 300/306/308/312 e 330; Rua Caetano Rufino n° 62,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.5090641,-48.6223582
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa 7 de Setembro  n° 104; Travessa Rui Barbosa n° 845; Rua Senador Manoel Barata n° 377 e Travessa Campos Sales n° 300/306/308/312 e 330; Rua Caetano Rufino n° 62,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.5090641,-48.6223582
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-2-3,Porto e/ou Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,,
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 371, 552 e 558; Rua General Gurjão n° 285; Rua Padre Prudêncio n° 719; Travessa 7 de Setembro n° 164/168/170; Rua Conselheiro João Alfredo n° 284; Travessa Gurupá n° 266; Travessa Alenquer n° 114; Travessa Quintino Bocaiúva n° 946/932; Travessa Rui Barbosa n° 355; Rua Veiga Cabral n° 1338; Rua Ó de Almeida n°387; Rua Senador Manoel Barata n° 77 e 114/118; Travessa Piedade n° 337; Travessa Presidente Pernambuco n° 204; Avenida 16 de Novembro n° 79; Rua Rodrigues Santos n° 257; Rua Cametá n° 94; Travessa Padre Eutiquio n° 555; Travessa Campos Sales n° 679  e 715; Rua Gaspar Viana n° 226/228, 223, 233/235, 359/361, 371/375 e 377/381; Rua 15 de Novembro n° 29/31; Praça Barão do Guajará n° 53; Rua 13 de Maio n° 28/32, 125, 458/462 e 470; Rua 28 de Setembro n° 42/56, 157, 528 e 536; Avenida Castilhos França n° 744, 738, 722, 600 e 608; Rua Boaventura n° 39; Travessa Padre Eutiquio n° 1329 e 719; Travessa 7 de Setembro n° 319; Praça Matriz n° 69 e 81","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 371, 552 e 558; Rua General Gurjão n° 285; Rua Padre Prudêncio n° 719; Travessa 7 de Setembro n° 164/168/170; Rua Conselheiro João Alfredo n° 284; Travessa Gurupá n° 266; Travessa Alenquer n° 114; Travessa Quintino Bocaiúva n° 946/932; Travessa Rui Barbosa n° 355; Rua Veiga Cabral n° 1338; Rua Ó de Almeida n°387; Rua Senador Manoel Barata n° 77 e 114/118; Travessa Piedade n° 337; Travessa Presidente Pernambuco n° 204; Avenida 16 de Novembro n° 79; Rua Rodrigues Santos n° 257; Rua Cametá n° 94; Travessa Padre Eutiquio n° 555; Travessa Campos Sales n° 679  e 715; Rua Gaspar Viana n° 226/228, 223, 233/235, 359/361, 371/375 e 377/381; Rua 15 de Novembro n° 29/31; Praça Barão do Guajará n° 53; Rua 13 de Maio n° 28/32, 125, 458/462 e 470; Rua 28 de Setembro n° 42/56, 157, 528 e 536; Avenida Castilhos França n° 744, 738, 722, 600 e 608; Rua Boaventura n° 39; Travessa Padre Eutiquio n° 1329 e 719; Travessa 7 de Setembro n° 319; Praça Matriz n° 69 e 81","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 371, 552 e 558; Rua General Gurjão n° 285; Rua Padre Prudêncio n° 719; Travessa 7 de Setembro n° 164/168/170; Rua Conselheiro João Alfredo n° 284; Travessa Gurupá n° 266; Travessa Alenquer n° 114; Travessa Quintino Bocaiúva n° 946/932; Travessa Rui Barbosa n° 355; Rua Veiga Cabral n° 1338; Rua Ó de Almeida n°387; Rua Senador Manoel Barata n° 77 e 114/118; Travessa Piedade n° 337; Travessa Presidente Pernambuco n° 204; Avenida 16 de Novembro n° 79; Rua Rodrigues Santos n° 257; Rua Cametá n° 94; Travessa Padre Eutiquio n° 555; Travessa Campos Sales n° 679  e 715; Rua Gaspar Viana n° 226/228, 223, 233/235, 359/361, 371/375 e 377/381; Rua 15 de Novembro n° 29/31; Praça Barão do Guajará n° 53; Rua 13 de Maio n° 28/32, 125, 458/462 e 470; Rua 28 de Setembro n° 42/56, 157, 528 e 536; Avenida Castilhos França n° 744, 738, 722, 600 e 608; Rua Boaventura n° 39; Travessa Padre Eutiquio n° 1329 e 719; Travessa 7 de Setembro n° 319; Praça Matriz n° 69 e 81","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 371, 552 e 558; Rua General Gurjão n° 285; Rua Padre Prudêncio n° 719; Travessa 7 de Setembro n° 164/168/170; Rua Conselheiro João Alfredo n° 284; Travessa Gurupá n° 266; Travessa Alenquer n° 114; Travessa Quintino Bocaiúva n° 946/932; Travessa Rui Barbosa n° 355; Rua Veiga Cabral n° 1338; Rua Ó de Almeida n°387; Rua Senador Manoel Barata n° 77 e 114/118; Travessa Piedade n° 337; Travessa Presidente Pernambuco n° 204; Avenida 16 de Novembro n° 79; Rua Rodrigues Santos n° 257; Rua Cametá n° 94; Travessa Padre Eutiquio n° 555; Travessa Campos Sales n° 679  e 715; Rua Gaspar Viana n° 226/228, 223, 233/235, 359/361, 371/375 e 377/381; Rua 15 de Novembro n° 29/31; Praça Barão do Guajará n° 53; Rua 13 de Maio n° 28/32, 125, 458/462 e 470; Rua 28 de Setembro n° 42/56, 157, 528 e 536; Avenida Castilhos França n° 744, 738, 722, 600 e 608; Rua Boaventura n° 39; Travessa Padre Eutiquio n° 1329 e 719; Travessa 7 de Setembro n° 319; Praça Matriz n° 69 e 81","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 1-4-1,Porto e/ou Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Gurupá n° 266; 
Av Conselheiro Furtado n° 406","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4596774,-48.5024191
