Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
Nazaré,,CE 1-1-1,Lisboa,Portugal,"12,3 x 12,3 cm",Cerâmica e vidrado Estampinha,Rua Tomázia Perdigão n° 62,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",12.3,12.3,-1.4570552,-48.5028955
Reduto,,CE 9-1-1,Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa Padre Eutiquio n° 1536,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4693734,-48.4791116
BatistaCampos,,CE 12-2-1,Portugal,,"13,2 x 13,2 cm",Cerâmica e vidrado Estampinha,Rua Senador Lemos n° 762; Rua Padre Prudêncio n° 488; Rua Siqueira Mendes n° 144; Rua 15 de Novembro n° 314 e 312,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.3101184,-48.3016655
Reduto,,CE 12-2-1,Portugal,,"13,2 x 13,2 cm",Cerâmica e vidrado Estampinha,Rua Senador Lemos n° 762; Rua Padre Prudêncio n° 488; Rua Siqueira Mendes n° 144; Rua 15 de Novembro n° 314 e 312,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.3101184,-48.3016655
Reduto,,CE 12-2-1,Portugal,,"13,2 x 13,2 cm",Cerâmica e vidrado Estampinha,Rua Senador Lemos n° 762; Rua Padre Prudêncio n° 488; Rua Siqueira Mendes n° 144; Rua 15 de Novembro n° 314 e 312,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.3101184,-48.3016655
Reduto,,CE 13-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Rua 15 de Novembro n° 43/57,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.1615771,-48.4688459
Reduto,,CE 15-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Travessa Pedro Albuquerque n° 145,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4590155,-48.5039701
Umarizal,,CE 16-1-1,Portugal,,13 x 13 cm,Cerâmica e vidrado Estampinha,Travessa Rui Barbosa n° 773,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4463569861700591,-48.49496514070736
BatistaCampos,,CE 17-1-1,Porto,Portugal,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Rua Senador Manoel Barata n° 136/138; Rua Arcipreste Manoel Teodoro n° 943; Avenida Gentil Bittencourt n° 57,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.450417,-48.4971926
BatistaCampos,,CE 17-1-1,Porto,Portugal,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Rua Senador Manoel Barata n° 136/138; Rua Arcipreste Manoel Teodoro n° 943; Avenida Gentil Bittencourt n° 57,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.450417,-48.4971926
BatistaCampos,,CE 18-1-1,Lisboa e Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,"Rua Magalhães Barata n° 336; Rua 28 de Setembro n° 892; Travessa Rui Barbosa n° 346, 352, 358, 364 e 372","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.2469623,-48.5530625
BatistaCampos,,CE 19-1-2,Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.4510368,-48.5010789
BatistaCampos,,CE 19-1-2,Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.4510368,-48.5010789
BatistaCampos,,CE 19-1-2,Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.4510368,-48.5010789
BatistaCampos,,CE 19-1-2,Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.4510368,-48.5010789
BatistaCampos,,CE 19-1-2,Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 605; Rua Siqueira Mendes n° 139; Rua Senador Manoel Barata n° 147; Avenida Conselheiro Furtado n° 412; Rua Arcipreste Manoel Teodoro n° 462, 470, 476, 478 e 508; Rua Tomázia Perdigão n° 174/178; Travessa Padre Eutiquio n° 1258, 1274, 1282, 1286/1288, 1294 e s/n°; Travessa Dr. Manoel n° 31","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.4510368,-48.5010789
BatistaCampos,,CE 19-2-2,Porto,Portugal,"13,3 x 13,3 cm",Cerâmica e vidrado Estampinha,Rua Tomázia Perdigão s/n°,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,-1.4570552,-48.5028955
BatistaCampos,,CE 20-1-1,Porto,Portugal,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 1166/1170,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.450574,-48.4982834
BatistaCampos,,CE 21-1-1 (a e b),Porto,Portugal,"14,3 x 14,3 cm",Cerâmica e vidrado Estampinha,Rua Cametá n° 125 e 133,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.3,14.3,-1.3340798,-48.3899473
BatistaCampos,,CE 21-1-2,Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60; Travessa Benjamin Constant n° 452,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4569976,-48.4990726
BatistaCampos,,CE 21-1-2,Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60; Travessa Benjamin Constant n° 452,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4569976,-48.4990726
Campina,,CE 22-1-1,Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Rua Senador Manoel barata n° 153 e 161; Travessa Padre Eutiquio n° 987/985; Travessa Campos Sales n° 604,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.450417,-48.4971926
Campina,,CE 23-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 24-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,"Avenida Serzedelo Correa n° 1058, 1052 e 1048","Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4555337,-48.4918342
Campina,,CE 24-2-2,Porto,Portugal,,Cerâmica e vidrado Estampinha,Rua Senador Manoel Barata n° 270/274,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.450417,-48.4971926
Campina,,CE 25-1-1,Provavelmente Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa Dom Romualdo de Seixas n° 613,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4448011,-48.4836168
Campina,,CE 26-1-1,Porto,Portugal,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa Campos Sales n° 375,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4543075,-48.4978101
Campina,,CE 27-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Rua 16 de Novembro n° 651,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 28-1-1,Provavelmente Porto,Portugal,,Cerâmica e vidrado Estampinha,Rua 16 de Novembro n° 651,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 29-1-1,Porto,Portugal,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Rua 13 de Maio n° 38/40,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4530688,-48.5007704
Campina,,CE 30-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4569976,-48.4990726
Campina,,CE 31-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Rua dos 48 n° 59 (Demolido antes de 1986),"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 32-1-1,Porto,Portugal,10 x 10 cm,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",10,10,-1.4569976,-48.4990726
Campina,,CE 33-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 34-1-1,Portugal,,14 x 14 cm,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,,
Campina,,CE 35-1-1,Provavelmente Portugal,,14 x 14 cm,Cerâmica e vidrado Estampinha,Travessa 7 de Setembro n° 243,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.5090641,-48.6223582
Campina,,CE 36-1-1,Portugal,,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
Campina,,CE 37-1-1,Portugal,,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
Campina,,CE 38-1-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 39-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Travessa 1° de Março n° 331/335/341 e Rua Ó de Almeida n° 363,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,CE 40-1-1,Portugal,,"13,5 x 13,5 cm",Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
Campina,,CE 41-1-1,Portugal,,14 x 14 cm,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,,
